amount,user_avg_amount,amount_ratio,tx_count_last_1h,tx_count_last_24h,is_new_device,is_trusted_device,is_new_ip,is_new_country,failed_logins_last_30m,label
24.68,22.99,1.0735102218355808,1,4,0,1,0,0,0,0
120.71,108.35,1.11407475772958,1,5,0,1,0,0,0,0
60.7,62.1,0.9774557165861514,1,3,0,1,0,0,0,0
90.44,81.06,1.1157167530224525,0,3,0,1,0,0,0,0
62.67,111.99,0.5596035360300027,0,1,0,1,0,0,0,0
57.39,64.08,0.8955992509363296,1,4,0,1,0,0,0,0
73.14,65.4,1.118348623853211,0,2,0,1,0,0,0,0
107.22,213.69,0.5017548785624035,1,4,0,1,0,0,0,0
317.69,56.39,5.633800319205533,12,28,1,0,1,1,4,1
60.64,60.26,1.0063060073016927,2,3,0,1,0,0,0,0
145.68,173.75,0.8384460431654677,2,4,0,1,0,0,0,0
72.6,114.07,0.6364513018322083,0,2,0,1,0,0,0,0
264.08,168.95,1.5630659958567623,2,9,1,0,1,0,1,1
293.45,179.76,1.632454383622608,5,11,1,0,1,0,2,0
25.4,36.33,0.6991467107074043,1,4,0,1,0,0,0,0
186.26,187.0,0.996042780748663,0,3,0,1,0,0,0,0
342.05,66.14,5.171605684910795,15,31,1,0,1,1,5,1
112.2,60.1,1.8668885191347753,3,11,0,1,1,0,3,1
51.9,39.14,1.3260091977516606,0,4,0,1,0,0,0,0
102.64,141.34,0.7261921607471346,3,5,0,1,0,0,0,0
158.82,103.36,1.5365712074303406,0,3,0,1,0,0,0,0
46.34,74.8,0.6195187165775402,1,5,0,0,0,0,0,0
769.36,141.05,5.454519673874512,14,33,1,0,1,0,2,1
208.69,100.2,2.0827345309381236,8,17,0,1,1,0,0,1
50.19,50.15,1.0007976071784646,1,5,0,1,0,0,0,0
90.66,40.88,2.2177103718199604,1,6,0,0,1,0,0,1
154.04,49.26,3.127080795777507,3,7,0,0,0,0,0,0
69.48,45.46,1.528376594808623,2,6,1,0,0,0,0,0
534.04,68.18,7.8327955412144314,13,30,1,0,1,1,5,1
89.7,78.96,1.136018237082067,0,2,0,0,1,0,0,0
32.9,65.62,0.5013715330691861,0,1,0,1,0,0,0,0
53.69,25.62,2.0956284153005464,3,8,1,0,0,0,3,1
156.78,83.62,1.874910308538627,4,9,0,1,0,1,0,0
118.38,105.02,1.1272138640258997,1,2,0,1,0,0,0,0
216.1,157.89,1.3686743935651404,0,2,0,1,0,0,0,0
64.24,52.54,1.2226874762086029,0,4,0,1,0,0,0,0
53.24,62.9,0.8464228934817171,1,3,0,1,0,0,0,0
54.32,39.52,1.3744939271255059,1,7,0,1,0,0,0,0
367.76,76.94,4.779828437743697,12,24,1,0,1,1,6,1
39.94,36.74,1.0870985302123026,3,10,0,0,0,0,1,1
167.69,62.15,2.698149637972647,2,7,0,1,1,0,0,0
189.79,151.89,1.2495226808874844,0,3,0,1,0,0,0,0
30.06,48.57,0.6189005558987029,2,5,0,1,0,0,0,0
70.77,72.74,0.9729172394830905,0,0,0,1,0,0,0,0
89.37,115.77,0.7719616480953616,2,8,0,1,0,0,2,0
780.35,102.87,7.585787887625158,3,21,1,0,1,1,3,1
78.58,98.51,0.7976855141609989,0,3,0,1,0,0,0,0
116.93,82.54,1.4166464744366367,0,3,0,1,0,0,0,0
821.05,295.56,2.7779469481661927,4,9,0,1,0,0,1,0
126.97,104.41,1.216071257542381,2,5,0,1,0,0,0,0
146.93,72.89,2.0157771985183155,2,4,0,1,1,1,3,0
884.42,379.6,2.3298735511064277,1,5,0,0,0,0,2,0
90.15,74.18,1.2152871393906712,1,4,0,1,0,0,0,0
43.48,59.64,0.7290409121395036,4,5,0,0,1,0,1,0
226.54,178.2,1.2712682379349047,1,1,0,1,0,0,0,0
754.81,295.06,2.558157662848234,4,10,1,0,1,1,0,0
143.57,107.07,1.340898477631456,0,2,0,1,0,0,0,0
180.32,140.35,1.284788029925187,1,1,0,1,0,0,0,0
86.64,49.71,1.7429088714544356,5,8,0,0,0,1,1,0
235.17,94.48,2.489098221845893,0,10,0,1,0,0,0,1
74.74,113.72,0.6572282799859304,0,1,0,1,0,0,0,0
218.6,230.47,0.9484965505271835,1,5,0,1,0,0,0,0
257.06,117.63,2.1853268723964976,3,9,0,1,1,0,2,0
153.85,70.84,2.171795595708639,6,12,0,0,0,0,0,0
43.98,73.46,0.5986931663490335,0,5,0,1,0,0,0,0
312.58,142.17,2.1986354364493215,4,13,0,1,0,0,1,0
19.88,31.12,0.6388174807197943,3,7,0,0,1,0,0,0
63.85,70.35,0.9076048329779673,0,2,0,1,0,0,0,0
44.86,86.03,0.5214460072067884,2,4,0,1,0,0,0,0
548.35,58.44,9.3831279945243,13,30,1,0,1,1,7,1
172.66,160.6,1.075093399750934,1,2,0,1,0,0,3,0
37.65,78.0,0.4826923076923077,1,5,0,1,0,0,0,0
29.87,55.65,0.5367475292003594,0,4,0,0,1,0,0,0
67.24,87.67,0.7669670354739363,2,4,0,1,0,0,0,0
102.76,41.03,2.5045088959298076,5,11,0,1,0,0,1,1
277.87,162.5,1.709969230769231,4,7,0,1,1,0,1,1
160.17,78.87,2.03081019399011,5,12,1,0,1,0,1,0
58.07,97.82,0.5936413821304437,1,2,0,1,0,0,0,0
187.6,133.81,1.4019878932815184,2,5,0,1,0,0,0,0
47.42,53.4,0.8880149812734083,0,1,0,1,0,0,0,0
126.49,95.53,1.3240866743431383,2,7,0,1,0,0,0,0
105.53,94.73,1.114008233928006,0,2,0,1,0,0,0,0
128.53,95.85,1.3409494001043298,4,11,0,1,0,0,0,0
555.61,104.92,5.295558520777735,9,31,1,0,1,0,8,1
185.42,135.52,1.3682113341204247,2,5,0,1,0,0,0,0
161.71,110.83,1.4590814761346207,0,2,0,1,0,0,0,0
80.58,100.32,0.8032296650717704,1,4,0,1,0,0,1,0
88.18,56.13,1.5709959023694995,1,5,1,0,0,0,0,0
102.26,71.51,1.4300097888407215,1,3,0,1,0,0,0,0
40.38,79.48,0.5080523402113739,1,3,0,1,0,0,0,0
58.06,88.29,0.6576056178502662,1,3,0,1,0,0,0,0
229.28,237.71,0.9645366202515671,4,9,0,0,0,0,1,0
103.72,38.54,2.6912298910223145,4,11,0,1,0,0,1,0
116.09,91.11,1.2741740752936013,0,2,0,0,0,0,0,0
63.41,116.57,0.5439649995710731,1,4,0,1,0,0,1,0
87.22,97.86,0.8912732474964234,0,2,0,0,0,0,0,0
76.57,68.01,1.1258638435524186,2,6,1,0,0,0,1,1
227.61,104.31,2.182053494391717,3,10,0,1,0,0,0,0
133.62,41.77,3.1989466124012447,7,31,1,0,1,1,4,1
132.05,114.88,1.1494603064066853,0,3,0,1,0,0,0,0
339.97,132.49,2.5660049815080384,3,11,0,0,0,0,0,0
32.03,22.32,1.435035842293907,1,2,0,1,0,0,0,0
104.62,79.27,1.319793112148354,0,2,0,1,0,0,0,0
68.65,56.93,1.2058668540312665,1,2,0,0,1,0,0,0
70.51,85.3,0.8266119577960142,3,6,0,1,0,0,0,0
70.21,73.94,0.9495536921828509,0,0,0,1,0,0,0,0
82.22,89.82,0.9153863282119795,1,2,0,1,0,0,1,0
404.19,194.25,2.0807722007722007,1,8,0,0,0,0,1,0
91.26,74.45,1.2257891202149094,0,2,0,1,0,0,0,0
54.11,59.67,0.9068208479973185,0,3,0,1,0,0,0,0
60.05,63.94,0.9391617141069752,1,3,0,1,0,0,0,0
33.36,65.24,0.5113427345187003,1,1,0,1,0,0,0,0
127.68,161.56,0.7902946273830156,0,2,0,1,0,0,0,0
441.67,101.35,4.357868771583622,11,27,1,0,1,1,5,1
20.67,28.21,0.7327188940092166,0,5,0,1,0,0,0,0
54.35,85.5,0.6356725146198831,4,7,0,1,0,0,0,0
41.71,38.55,1.0819714656290533,1,4,0,1,0,0,0,0
49.71,47.44,1.047849915682968,0,1,0,1,0,0,0,0
86.42,107.3,0.8054054054054054,1,4,0,0,0,0,0,0
94.09,112.11,0.8392650075818393,0,4,1,0,0,0,0,0
