amount,user_avg_amount,amount_ratio,tx_count_last_1h,tx_count_last_24h,is_new_device,is_trusted_device,is_new_ip,is_new_country,failed_logins_last_30m,hour_of_day,label
121.66,148.09,0.8215274495239381,0,4,0,1,0,0,0,12,0
229.62,80.24,2.861665004985045,1,10,1,0,0,0,2,3,0
109.16,204.94,0.5326437005952962,0,0,0,0,0,0,1,17,0
177.88,52.83,3.367026310808253,11,27,1,0,1,0,2,0,1
32.31,57.2,0.5648601398601398,1,4,1,0,1,0,0,13,0
76.06,62.19,1.223026210001608,1,5,0,0,0,0,0,12,0
226.16,211.92,1.06719516798792,0,0,1,0,0,0,0,15,0
91.33,161.82,0.564392534915338,0,2,0,1,0,0,0,9,0
40.25,49.5,0.8131313131313131,0,2,0,1,0,0,0,13,0
359.5,240.53,1.4946160562092046,2,10,0,0,1,1,2,12,0
38.86,39.81,0.9761366490831449,2,4,0,1,0,0,0,12,0
104.38,101.19,1.031524854234608,0,0,0,1,0,0,0,10,0
71.61,99.63,0.7187594098163204,0,4,0,1,0,0,0,13,0
1162.78,133.55,8.706701609883938,14,35,1,0,1,0,3,22,1
102.73,78.63,1.306498791809742,2,3,0,1,0,0,0,1,0
78.7,105.5,0.7459715639810427,0,1,0,1,0,0,0,17,0
1179.88,118.46,9.960155326692556,19,36,1,0,1,0,4,23,1
44.02,44.98,0.9786571809693199,2,3,0,1,0,0,0,16,0
133.52,133.56,0.9997005091344715,1,6,0,1,0,0,0,10,0
46.19,71.16,0.6491006183249016,1,8,0,1,0,0,0,10,0
98.65,84.26,1.1707809162117255,0,3,1,0,0,0,0,10,0
152.31,37.2,4.094354838709677,10,27,1,0,1,1,3,1,1
1734.39,206.28,8.407940663176266,16,41,1,0,1,1,1,22,1
69.28,106.98,0.647597681809684,0,1,0,1,0,0,0,10,0
72.13,69.37,1.039786651290183,0,4,0,1,0,0,0,14,0
55.72,66.88,0.8331339712918661,3,5,0,0,0,0,0,11,0
101.56,105.0,0.9672380952380952,0,0,0,1,0,0,0,9,0
53.11,83.9,0.6330154946364719,2,4,0,1,0,0,1,14,0
89.11,127.29,0.7000549925367271,0,1,1,0,0,0,0,4,0
153.65,112.69,1.3634750199662793,1,2,0,1,0,0,0,13,0
123.8,112.0,1.105357142857143,4,8,0,1,0,1,5,5,0
126.71,99.13,1.278220518511046,5,11,0,1,0,0,2,21,1
190.16,170.2,1.1172737955346652,0,3,0,1,0,0,0,16,0
56.74,90.57,0.6264767583084907,2,6,0,1,0,0,0,15,0
289.49,65.45,4.423071046600458,4,26,1,0,1,1,6,2,1
255.32,187.03,1.3651285889964175,2,5,0,1,0,0,0,2,0
577.39,83.03,6.953992532819463,5,21,1,0,1,1,7,4,1
67.41,77.13,0.8739789964994166,1,2,0,1,0,0,0,16,0
311.53,138.56,2.2483400692840645,2,7,0,0,0,0,0,14,0
132.93,92.68,1.4342900302114803,2,6,0,1,0,0,0,12,0
207.68,70.67,2.938729305221452,2,6,0,1,1,0,1,9,0
30.96,57.59,0.5375933321757249,0,3,0,0,0,0,2,11,0
52.33,48.76,1.0732157506152584,1,2,0,1,0,0,0,17,0
89.74,75.09,1.1950992142762018,0,1,0,1,0,0,0,11,0
156.74,121.88,1.2860190351165082,2,4,0,1,0,0,0,6,0
180.69,38.82,4.6545595054095825,14,27,1,0,1,1,3,18,1
226.54,178.2,1.2712682379349047,1,1,0,1,0,0,0,11,0
76.14,96.47,0.7892609101275008,0,3,0,1,0,0,0,17,0
58.71,43.53,1.348725017229497,0,2,0,1,0,0,0,8,0
54.29,55.49,0.9783744818886285,3,5,0,1,0,0,0,16,0
58.57,46.88,1.2493600682593855,0,4,0,1,0,0,0,21,0
84.35,64.71,1.3035079585844538,0,2,0,1,0,0,0,10,0
59.69,40.03,1.4911316512615538,3,4,0,1,0,0,0,14,0
38.89,49.22,0.7901259650548558,1,2,0,1,0,0,0,6,0
193.74,126.43,1.5323894645258245,1,4,0,1,0,0,0,17,0
63.03,57.75,1.0914285714285714,1,4,0,1,0,0,1,15,0
322.27,125.31,2.5717819806878937,3,11,0,0,0,0,3,11,0
147.27,120.25,1.2246985446985448,1,4,0,1,0,0,0,20,0
117.07,51.87,2.256988625409678,2,13,0,0,0,0,2,23,1
229.29,28.5,8.045263157894736,11,23,1,0,1,1,6,4,1
81.72,81.12,1.0073964497041419,1,5,0,1,0,0,0,16,0
37.44,56.37,0.6641830761043108,0,1,0,1,0,0,0,15,0
34.25,35.27,0.9710802381627445,3,6,0,1,0,0,0,16,0
126.15,153.05,0.8242404442992486,1,2,0,0,1,0,0,14,0
136.87,100.95,1.3558197127290739,2,6,0,0,1,0,0,17,0
49.84,43.32,1.1505078485687905,3,15,0,1,0,0,0,23,1
71.54,27.95,2.5595706618962435,3,15,0,1,0,0,1,17,0
116.82,139.29,0.8386818867111782,3,3,0,0,0,0,0,6,0
100.15,69.12,1.4489293981481481,1,3,1,0,0,0,0,17,0
161.18,71.9,2.2417246175243393,6,14,0,0,1,0,0,11,0
327.74,87.31,3.7537510021761538,8,22,1,0,1,1,6,0,1
1170.69,169.04,6.925520586843351,12,25,1,0,1,1,7,4,1
64.26,110.98,0.5790232474319698,0,2,0,1,0,0,0,11,0
33.54,28.45,1.1789103690685414,0,3,0,1,0,0,1,10,0
294.62,111.99,2.630770604518261,2,10,0,1,1,0,0,9,0
111.01,50.4,2.202579365079365,5,14,0,1,0,0,0,14,1
179.75,124.5,1.4437751004016064,0,2,0,1,0,0,0,10,0
57.16,49.52,1.1542810985460419,1,3,0,0,1,0,1,12,0
149.04,104.28,1.429228998849252,2,4,0,1,0,0,0,10,0
90.42,32.92,2.746658566221142,2,6,1,0,0,0,1,2,1
92.86,57.51,1.6146757085724222,1,13,0,1,0,0,2,13,1
196.6,48.91,4.019627887957473,11,24,1,0,1,1,4,2,1
117.15,41.85,2.7992831541218637,3,9,0,1,0,0,3,11,0
85.72,60.76,1.4107965766951942,2,8,0,1,0,0,0,10,0
266.75,37.15,7.18034993270525,12,31,1,0,1,1,2,3,1
60.32,54.55,1.105774518790101,1,3,0,1,0,0,0,13,0
78.32,27.15,2.8847145488029464,4,8,0,0,0,1,1,0,1
134.78,30.59,4.406015037593985,13,33,1,0,1,0,7,5,1
27.45,30.36,0.9041501976284585,0,3,0,1,0,0,0,15,0
89.18,118.94,0.7497898099882294,1,1,0,1,0,0,0,10,0
21.57,37.75,0.5713907284768212,1,3,0,1,0,0,1,6,0
201.45,147.29,1.3677099599429696,1,3,0,1,0,0,0,0,0
104.79,81.22,1.290199458261512,0,4,0,0,0,0,0,13,0
40.26,40.56,0.9926035502958579,1,2,0,1,0,0,0,9,0
831.7,185.59,4.481383695242201,7,29,1,0,1,1,4,3,1
